pair,n_edges,n_unique_rois
Default Mode – B ↔ Visual – Peripheral,23,27
Dorsal Attention – A ↔ Frontoparietal Control – C,22,25
Dorsal Attention – A ↔ Somatomotor – A,22,22
Dorsal Attention – A ↔ Somatomotor – B,22,24
Dorsal Attention – B ↔ Frontoparietal Control – B,22,20
Salience/Ventral Attention – A ↔ Somatomotor – A,22,22
Frontoparietal Control – B ↔ Somatomotor – B,21,19
Salience/Ventral Attention – A ↔ Salience/Ventral Attention – B,21,23
Default Mode – A ↔ Visual – Central,20,20
Default Mode – B ↔ Temporo-Parietal,20,24
Dorsal Attention – B ↔ Visual – Peripheral,20,24
Limbic – A ↔ Visual – Central,20,21
Limbic – A ↔ Visual – Peripheral,20,22
Salience/Ventral Attention – B ↔ Somatomotor – B,20,25
Somatomotor – A ↔ Somatomotor – B,20,22
Default Mode – B ↔ Default Mode – C,19,24
Frontoparietal Control – B ↔ Limbic – A,19,19
Limbic – B ↔ Somatomotor – B,19,15
Dorsal Attention – A ↔ Frontoparietal Control – B,18,21
Dorsal Attention – A ↔ Salience/Ventral Attention – B,18,27
Frontoparietal Control – A ↔ Visual – Central,18,18
Frontoparietal Control – B ↔ Frontoparietal Control – C,18,19
Limbic – A ↔ Somatomotor – B,18,17
Limbic – B ↔ Visual – Central,18,18
Default Mode – A ↔ Salience/Ventral Attention – A,17,19
Default Mode – B ↔ Frontoparietal Control – C,17,22
Frontoparietal Control – A ↔ Temporo-Parietal,17,21
Frontoparietal Control – A ↔ Visual – Peripheral,17,19
Limbic – B ↔ Temporo-Parietal,17,17
Default Mode – A ↔ Visual – Peripheral,16,18
Default Mode – C ↔ Somatomotor – A,16,19
Dorsal Attention – B ↔ Somatomotor – B,16,19
Frontoparietal Control – B ↔ Salience/Ventral Attention – A,16,20
Default Mode – A ↔ Temporo-Parietal,15,21
Default Mode – B ↔ Somatomotor – B,15,21
Default Mode – C ↔ Limbic – A,15,15
Dorsal Attention – A ↔ Dorsal Attention – B,15,18
Dorsal Attention – B ↔ Limbic – A,15,16
Dorsal Attention – B ↔ Somatomotor – A,15,19
Frontoparietal Control – A ↔ Salience/Ventral Attention – A,15,18
Frontoparietal Control – B ↔ Limbic – B,15,12
Frontoparietal Control – C ↔ Limbic – B,15,14
Salience/Ventral Attention – B ↔ Somatomotor – A,15,21
Default Mode – A ↔ Frontoparietal Control – B,14,20
Default Mode – B ↔ Salience/Ventral Attention – B,14,19
Frontoparietal Control – C ↔ Limbic – A,14,16
Frontoparietal Control – C ↔ Somatomotor – A,14,18
Dorsal Attention – B ↔ Frontoparietal Control – C,13,12
Frontoparietal Control – A ↔ Frontoparietal Control – B,13,13
Frontoparietal Control – A ↔ Limbic – A,13,14
Frontoparietal Control – B ↔ Somatomotor – A,13,18
Limbic – A ↔ Salience/Ventral Attention – B,13,19
Limbic – B ↔ Salience/Ventral Attention – B,13,11
Limbic – B ↔ Visual – Peripheral,13,16
Default Mode – A ↔ Frontoparietal Control – C,12,17
Default Mode – A ↔ Somatomotor – A,12,16
Default Mode – A ↔ Somatomotor – B,12,16
Default Mode – B ↔ Frontoparietal Control – B,12,16
Default Mode – C ↔ Frontoparietal Control – A,12,16
Default Mode – C ↔ Limbic – B,12,14
Limbic – A ↔ Salience/Ventral Attention – A,12,17
Default Mode – B ↔ Dorsal Attention – B,11,17
Dorsal Attention – A ↔ Frontoparietal Control – A,11,11
Dorsal Attention – B ↔ Salience/Ventral Attention – A,11,14
Default Mode – A ↔ Dorsal Attention – A,10,13
Default Mode – A ↔ Dorsal Attention – B,10,13
Default Mode – A ↔ Salience/Ventral Attention – B,10,9
Default Mode – B ↔ Somatomotor – A,10,14
Dorsal Attention – A ↔ Limbic – A,10,14
Dorsal Attention – B ↔ Frontoparietal Control – A,10,12
Dorsal Attention – B ↔ Limbic – B,10,11
Dorsal Attention – B ↔ Salience/Ventral Attention – B,10,16
Frontoparietal Control – A ↔ Frontoparietal Control – C,10,13
Frontoparietal Control – A ↔ Somatomotor – B,10,13
Default Mode – A ↔ Default Mode – C,9,13
Default Mode – A ↔ Limbic – A,9,13
Default Mode – B ↔ Limbic – B,9,9
Dorsal Attention – A ↔ Limbic – B,9,12
Frontoparietal Control – A ↔ Limbic – B,9,9
Default Mode – A ↔ Limbic – B,8,8
Default Mode – B ↔ Limbic – A,8,12
Default Mode – A ↔ Default Mode – B,7,12
Default Mode – B ↔ Frontoparietal Control – A,7,10
Frontoparietal Control – A ↔ Somatomotor – A,7,8
Limbic – A ↔ Limbic – B,7,9
Limbic – A ↔ Somatomotor – A,6,8
Default Mode – A ↔ Frontoparietal Control – A,5,7
Frontoparietal Control – A ↔ Salience/Ventral Attention – B,5,8
Limbic – B ↔ Salience/Ventral Attention – A,5,7
Limbic – B ↔ Somatomotor – A,5,8
