roi_i,roi_j,tval,p_unc,p_fdr,significant,yeo7_i,yeo7_i_name,yeo17_i,yeo17_i_name,yeo7_j,yeo7_j_name,yeo17_j,yeo17_j_name,HO_i_name,HO_j_name,HO_pair,yeo7_pair,yeo7_kind,yeo17_pair,yeo17_kind
194,390,6.0139227,2.6626539e-09,1.07397445e-05,True,2,Somatomotor,3,Somatomotor – A,0,Unknown,0,Unknown,Right Postcentral Gyrus,Unknown,Right Postcentral Gyrus ↔ Unknown,Somatomotor ↔ Unknown,inter,Somatomotor – A ↔ Unknown,inter
114,390,5.911883,4.836911e-09,1.6813094e-05,True,1,Visual,1,Visual – Central,0,Unknown,0,Unknown,Left Lateral Occipital Cortex; inferior division,Unknown,Left Lateral Occipital Cortex; inferior division ↔ Unknown,Unknown ↔ Visual,inter,Unknown ↔ Visual – Central,inter
359,390,5.9111414,4.86782e-09,1.6813094e-05,True,2,Somatomotor,3,Somatomotor – A,0,Unknown,0,Unknown,Right Postcentral Gyrus,Unknown,Right Postcentral Gyrus ↔ Unknown,Somatomotor ↔ Unknown,inter,Somatomotor – A ↔ Unknown,inter
182,194,5.9051113,5.0459463e-09,1.6813094e-05,True,5,Limbic,9,Limbic – A,2,Somatomotor,3,Somatomotor – A,Left Temporal Pole,Right Postcentral Gyrus,Left Temporal Pole ↔ Right Postcentral Gyrus,Limbic ↔ Somatomotor,inter,Limbic – A ↔ Somatomotor – A,inter
10,133,5.886682,5.670681e-09,1.7560247e-05,True,2,Somatomotor,4,Somatomotor – B,7,Default Mode,17,Temporo-Parietal,Left Heschl's Gyrus (includes H1 and H2),Right Inferior Frontal Gyrus; pars triangularis,Left Heschl's Gyrus (includes H1 and H2) ↔ Right Inferior Frontal Gyrus; pars triangularis,Default Mode ↔ Somatomotor,inter,Somatomotor – B ↔ Temporo-Parietal,inter
214,390,5.883694,5.728459e-09,1.7560247e-05,True,6,Frontoparietal Control,12,Frontoparietal Control – B,0,Unknown,0,Unknown,Left Inferior Frontal Gyrus; pars opercularis,Unknown,Left Inferior Frontal Gyrus; pars opercularis ↔ Unknown,Frontoparietal Control ↔ Unknown,inter,Frontoparietal Control – B ↔ Unknown,inter
214,230,5.836371,7.499291e-09,2.1285765e-05,True,6,Frontoparietal Control,12,Frontoparietal Control – B,0,Unknown,0,Unknown,Left Inferior Frontal Gyrus; pars opercularis,,Left Inferior Frontal Gyrus; pars opercularis ↔ Unknown,Frontoparietal Control ↔ Unknown,inter,Frontoparietal Control – B ↔ Unknown,inter
125,306,5.761235,1.155703e-08,2.857047e-05,True,0,Unknown,0,Unknown,7,Default Mode,13,Frontoparietal Control – C,Right Putamen,Right Middle Frontal Gyrus,Right Middle Frontal Gyrus ↔ Right Putamen,Default Mode ↔ Unknown,inter,Frontoparietal Control – C ↔ Unknown,inter
154,182,5.723491,1.4316537e-08,3.3129123e-05,True,7,Default Mode,16,Default Mode – C,5,Limbic,9,Limbic – A,Left Superior Frontal Gyrus,Left Temporal Pole,Left Superior Frontal Gyrus ↔ Left Temporal Pole,Default Mode ↔ Limbic,inter,Default Mode – C ↔ Limbic – A,inter
191,390,5.718842,1.4697925e-08,3.3129123e-05,True,3,Dorsal Attention,12,Frontoparietal Control – B,0,Unknown,0,Unknown,Right Inferior Frontal Gyrus; pars opercularis,Unknown,Right Inferior Frontal Gyrus; pars opercularis ↔ Unknown,Dorsal Attention ↔ Unknown,inter,Frontoparietal Control – B ↔ Unknown,inter
51,182,5.6749744,1.8837357e-08,3.7501166e-05,True,3,Dorsal Attention,11,Frontoparietal Control – A,5,Limbic,9,Limbic – A,Left Precuneous Cortex,Left Temporal Pole,Left Precuneous Cortex ↔ Left Temporal Pole,Dorsal Attention ↔ Limbic,inter,Frontoparietal Control – A ↔ Limbic – A,inter
182,231,5.6414924,2.2775533e-08,4.1557756e-05,True,5,Limbic,9,Limbic – A,1,Visual,1,Visual – Central,Left Temporal Pole,Left Occipital Fusiform Gyrus,Left Occipital Fusiform Gyrus ↔ Left Temporal Pole,Limbic ↔ Visual,inter,Limbic – A ↔ Visual – Central,inter
51,390,5.6316643,2.4026352e-08,4.2820546e-05,True,3,Dorsal Attention,11,Frontoparietal Control – A,0,Unknown,0,Unknown,Left Precuneous Cortex,Unknown,Left Precuneous Cortex ↔ Unknown,Dorsal Attention ↔ Unknown,inter,Frontoparietal Control – A ↔ Unknown,inter
92,390,5.594561,2.9543441e-08,4.854283e-05,True,1,Visual,2,Visual – Peripheral,0,Unknown,0,Unknown,Right Precuneous Cortex,Unknown,Right Precuneous Cortex ↔ Unknown,Unknown ↔ Visual,inter,Unknown ↔ Visual – Peripheral,inter
5,230,5.5927773,2.9851652e-08,4.854283e-05,True,4,Salience / Ventral Attention,14,Default Mode – A,0,Unknown,0,Unknown,Right Supramarginal Gyrus; posterior division,,Right Supramarginal Gyrus; posterior division ↔ Unknown,Salience / Ventral Attention ↔ Unknown,inter,Default Mode – A ↔ Unknown,inter
214,239,5.590353,3.0404195e-08,4.854283e-05,True,6,Frontoparietal Control,12,Frontoparietal Control – B,6,Frontoparietal Control,11,Frontoparietal Control – A,Left Inferior Frontal Gyrus; pars opercularis,Right Cingulate Gyrus; anterior division,Left Inferior Frontal Gyrus; pars opercularis ↔ Right Cingulate Gyrus; anterior division,Frontoparietal Control ↔ Frontoparietal Control,intra,Frontoparietal Control – A ↔ Frontoparietal Control – B,inter
45,133,5.553963,3.7433058e-08,5.516769e-05,True,5,Limbic,9,Limbic – A,7,Default Mode,17,Temporo-Parietal,Left Temporal Fusiform Cortex; anterior division,Right Inferior Frontal Gyrus; pars triangularis,Left Temporal Fusiform Cortex; anterior division ↔ Right Inferior Frontal Gyrus; pars triangularis,Default Mode ↔ Limbic,inter,Limbic – A ↔ Temporo-Parietal,inter
230,267,5.5409527,3.987937e-08,5.659621e-05,True,0,Unknown,0,Unknown,1,Visual,15,Default Mode – B,,Right Parahippocampal Gyrus; posterior division,Right Parahippocampal Gyrus; posterior division ↔ Unknown,Unknown ↔ Visual,inter,Default Mode – B ↔ Unknown,inter
315,390,5.534128,4.1296385e-08,5.7541634e-05,True,0,Unknown,0,Unknown,0,Unknown,0,Unknown,,Unknown,Unknown ↔ Unknown,Unknown ↔ Unknown,intra,Unknown ↔ Unknown,intra
65,390,5.527784,4.2792028e-08,5.856089e-05,True,4,Salience / Ventral Attention,7,Salience/Ventral Attention – A,0,Unknown,0,Unknown,Left Planum Temporale,Unknown,Left Planum Temporale ↔ Unknown,Salience / Ventral Attention ↔ Unknown,inter,Salience/Ventral Attention – A ↔ Unknown,inter
217,390,5.4946136,5.130632e-08,6.7791574e-05,True,7,Default Mode,14,Default Mode – A,0,Unknown,0,Unknown,Left Angular Gyrus,Unknown,Left Angular Gyrus ↔ Unknown,Default Mode ↔ Unknown,inter,Default Mode – A ↔ Unknown,inter
125,129,5.461202,6.16112e-08,7.615542e-05,True,0,Unknown,0,Unknown,7,Default Mode,16,Default Mode – C,Right Putamen,Left Superior Frontal Gyrus,Left Superior Frontal Gyrus ↔ Right Putamen,Default Mode ↔ Unknown,inter,Default Mode – C ↔ Unknown,inter
51,95,5.45714,6.2971225e-08,7.6601e-05,True,3,Dorsal Attention,11,Frontoparietal Control – A,2,Somatomotor,4,Somatomotor – B,Left Precuneous Cortex,Left Postcentral Gyrus,Left Postcentral Gyrus ↔ Left Precuneous Cortex,Dorsal Attention ↔ Somatomotor,inter,Frontoparietal Control – A ↔ Somatomotor – B,inter
95,194,5.415356,7.9260225e-08,8.803169e-05,True,2,Somatomotor,4,Somatomotor – B,2,Somatomotor,3,Somatomotor – A,Left Postcentral Gyrus,Right Postcentral Gyrus,Left Postcentral Gyrus ↔ Right Postcentral Gyrus,Somatomotor ↔ Somatomotor,intra,Somatomotor – A ↔ Somatomotor – B,inter
21,154,5.4012566,8.527269e-08,9.335654e-05,True,0,Unknown,0,Unknown,7,Default Mode,16,Default Mode – C,Left Thalamus,Left Superior Frontal Gyrus,Left Superior Frontal Gyrus ↔ Left Thalamus,Default Mode ↔ Unknown,inter,Default Mode – C ↔ Unknown,inter
10,201,5.395756,8.824187e-08,9.406629e-05,True,2,Somatomotor,4,Somatomotor – B,7,Default Mode,10,Limbic – B,Left Heschl's Gyrus (includes H1 and H2),Right Frontal Orbital Cortex,Left Heschl's Gyrus (includes H1 and H2) ↔ Right Frontal Orbital Cortex,Default Mode ↔ Somatomotor,inter,Limbic – B ↔ Somatomotor – B,inter
5,182,5.394535,8.837586e-08,9.406629e-05,True,4,Salience / Ventral Attention,14,Default Mode – A,5,Limbic,9,Limbic – A,Right Supramarginal Gyrus; posterior division,Left Temporal Pole,Left Temporal Pole ↔ Right Supramarginal Gyrus; posterior division,Limbic ↔ Salience / Ventral Attention,inter,Default Mode – A ↔ Limbic – A,inter
5,390,5.3649983,1.0361157e-07,0.000105890584,True,4,Salience / Ventral Attention,14,Default Mode – A,0,Unknown,0,Unknown,Right Supramarginal Gyrus; posterior division,Unknown,Right Supramarginal Gyrus; posterior division ↔ Unknown,Salience / Ventral Attention ↔ Unknown,inter,Default Mode – A ↔ Unknown,inter
315,346,5.3610024,1.0634606e-07,0.000107236,True,0,Unknown,0,Unknown,3,Dorsal Attention,12,Frontoparietal Control – B,,Left Inferior Temporal Gyrus; temporooccipital part,Left Inferior Temporal Gyrus; temporooccipital part ↔ Unknown,Dorsal Attention ↔ Unknown,inter,Frontoparietal Control – B ↔ Unknown,inter
194,230,5.341049,1.18058495e-07,0.0001175004,True,2,Somatomotor,3,Somatomotor – A,0,Unknown,0,Unknown,Right Postcentral Gyrus,,Right Postcentral Gyrus ↔ Unknown,Somatomotor ↔ Unknown,inter,Somatomotor – A ↔ Unknown,inter
145,294,5.3139834,1.3724969e-07,0.0001298662,True,2,Somatomotor,3,Somatomotor – A,1,Visual,5,Dorsal Attention – A,Left Precentral Gyrus,Right Lateral Occipital Cortex; superior division,Left Precentral Gyrus ↔ Right Lateral Occipital Cortex; superior division,Somatomotor ↔ Visual,inter,Dorsal Attention – A ↔ Somatomotor – A,inter
21,65,5.3123703,1.3726137e-07,0.0001298662,True,0,Unknown,0,Unknown,4,Salience / Ventral Attention,7,Salience/Ventral Attention – A,Left Thalamus,Left Planum Temporale,Left Planum Temporale ↔ Left Thalamus,Salience / Ventral Attention ↔ Unknown,inter,Salience/Ventral Attention – A ↔ Unknown,inter
208,382,5.300059,1.489083e-07,0.0001332977,True,1,Visual,2,Visual – Peripheral,0,Unknown,0,Unknown,Right Hippocampus,Unknown,Right Hippocampus ↔ Unknown,Unknown ↔ Visual,inter,Unknown ↔ Visual – Peripheral,inter
154,239,5.2700396,1.7261793e-07,0.00015032668,True,7,Default Mode,16,Default Mode – C,6,Frontoparietal Control,11,Frontoparietal Control – A,Left Superior Frontal Gyrus,Right Cingulate Gyrus; anterior division,Left Superior Frontal Gyrus ↔ Right Cingulate Gyrus; anterior division,Default Mode ↔ Frontoparietal Control,inter,Default Mode – C ↔ Frontoparietal Control – A,inter
21,267,5.23597,2.057672e-07,0.00016594992,True,0,Unknown,0,Unknown,1,Visual,15,Default Mode – B,Left Thalamus,Right Parahippocampal Gyrus; posterior division,Left Thalamus ↔ Right Parahippocampal Gyrus; posterior division,Unknown ↔ Visual,inter,Default Mode – B ↔ Unknown,inter
194,239,5.2335396,2.0952933e-07,0.00016594992,True,2,Somatomotor,3,Somatomotor – A,6,Frontoparietal Control,11,Frontoparietal Control – A,Right Postcentral Gyrus,Right Cingulate Gyrus; anterior division,Right Cingulate Gyrus; anterior division ↔ Right Postcentral Gyrus,Frontoparietal Control ↔ Somatomotor,inter,Frontoparietal Control – A ↔ Somatomotor – A,inter
49,214,5.2281127,2.1654304e-07,0.00016594992,True,3,Dorsal Attention,6,Dorsal Attention – B,6,Frontoparietal Control,12,Frontoparietal Control – B,Left Postcentral Gyrus,Left Inferior Frontal Gyrus; pars opercularis,Left Inferior Frontal Gyrus; pars opercularis ↔ Left Postcentral Gyrus,Dorsal Attention ↔ Frontoparietal Control,inter,Dorsal Attention – B ↔ Frontoparietal Control – B,inter
267,390,5.226832,2.1553839e-07,0.00016594992,True,1,Visual,15,Default Mode – B,0,Unknown,0,Unknown,Right Parahippocampal Gyrus; posterior division,Unknown,Right Parahippocampal Gyrus; posterior division ↔ Unknown,Unknown ↔ Visual,inter,Default Mode – B ↔ Unknown,inter
95,125,5.202312,2.455923e-07,0.00018097319,True,2,Somatomotor,4,Somatomotor – B,0,Unknown,0,Unknown,Left Postcentral Gyrus,Right Putamen,Left Postcentral Gyrus ↔ Right Putamen,Somatomotor ↔ Unknown,inter,Somatomotor – B ↔ Unknown,inter
125,182,5.1828246,2.7156167e-07,0.00019449907,True,0,Unknown,0,Unknown,5,Limbic,9,Limbic – A,Right Putamen,Left Temporal Pole,Left Temporal Pole ↔ Right Putamen,Limbic ↔ Unknown,inter,Limbic – A ↔ Unknown,inter
125,390,5.157789,3.09417e-07,0.00021171858,True,0,Unknown,0,Unknown,0,Unknown,0,Unknown,Right Putamen,Unknown,Right Putamen ↔ Unknown,Unknown ↔ Unknown,intra,Unknown ↔ Unknown,intra
280,361,5.1461945,3.3110715e-07,0.0002237487,True,7,Default Mode,17,Temporo-Parietal,1,Visual,5,Dorsal Attention – A,Left Middle Temporal Gyrus; posterior division,Right Temporal Occipital Fusiform Cortex,Left Middle Temporal Gyrus; posterior division ↔ Right Temporal Occipital Fusiform Cortex,Default Mode ↔ Visual,inter,Dorsal Attention – A ↔ Temporo-Parietal,inter
129,385,5.1422925,3.3641427e-07,0.00022418647,True,7,Default Mode,16,Default Mode – C,6,Frontoparietal Control,8,Salience/Ventral Attention – B,Left Superior Frontal Gyrus,Left Frontal Pole,Left Frontal Pole ↔ Left Superior Frontal Gyrus,Default Mode ↔ Frontoparietal Control,inter,Default Mode – C ↔ Salience/Ventral Attention – B,inter
95,202,5.1279526,3.6256455e-07,0.00023953014,True,2,Somatomotor,4,Somatomotor – B,6,Frontoparietal Control,13,Frontoparietal Control – C,Left Postcentral Gyrus,Left Frontal Pole,Left Frontal Pole ↔ Left Postcentral Gyrus,Frontoparietal Control ↔ Somatomotor,inter,Frontoparietal Control – C ↔ Somatomotor – B,inter
34,133,5.12462,3.6879092e-07,0.0002415612,True,7,Default Mode,17,Temporo-Parietal,7,Default Mode,17,Temporo-Parietal,Right Temporal Pole,Right Inferior Frontal Gyrus; pars triangularis,Right Inferior Frontal Gyrus; pars triangularis ↔ Right Temporal Pole,Default Mode ↔ Default Mode,intra,Temporo-Parietal ↔ Temporo-Parietal,intra
65,239,5.1182485,3.8045332e-07,0.00024708832,True,4,Salience / Ventral Attention,7,Salience/Ventral Attention – A,6,Frontoparietal Control,11,Frontoparietal Control – A,Left Planum Temporale,Right Cingulate Gyrus; anterior division,Left Planum Temporale ↔ Right Cingulate Gyrus; anterior division,Frontoparietal Control ↔ Salience / Ventral Attention,inter,Frontoparietal Control – A ↔ Salience/Ventral Attention – A,inter
96,354,5.0722017,4.819783e-07,0.00029314993,True,6,Frontoparietal Control,8,Salience/Ventral Attention – B,6,Frontoparietal Control,12,Frontoparietal Control – B,Right Frontal Pole,Right Middle Frontal Gyrus,Right Frontal Pole ↔ Right Middle Frontal Gyrus,Frontoparietal Control ↔ Frontoparietal Control,intra,Frontoparietal Control – B ↔ Salience/Ventral Attention – B,inter
13,254,5.067347,4.917974e-07,0.00029558645,True,1,Visual,1,Visual – Central,7,Default Mode,13,Frontoparietal Control – C,,Left Frontal Pole,Left Frontal Pole ↔ Unknown,Default Mode ↔ Visual,inter,Frontoparietal Control – C ↔ Visual – Central,inter
21,30,5.0476303,5.447438e-07,0.00032113068,True,0,Unknown,0,Unknown,7,Default Mode,17,Temporo-Parietal,Left Thalamus,Left Angular Gyrus,Left Angular Gyrus ↔ Left Thalamus,Default Mode ↔ Unknown,inter,Temporo-Parietal ↔ Unknown,inter
146,352,5.0251884,6.114114e-07,0.00034955426,True,1,Visual,1,Visual – Central,2,Somatomotor,3,Somatomotor – A,Right Temporal Occipital Fusiform Cortex,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex) ↔ Right Temporal Occipital Fusiform Cortex,Somatomotor ↔ Visual,inter,Somatomotor – A ↔ Visual – Central,inter
182,337,5.0229783,6.180704e-07,0.00034955426,True,5,Limbic,9,Limbic – A,7,Default Mode,15,Default Mode – B,Left Temporal Pole,Left Hippocampus,Left Hippocampus ↔ Left Temporal Pole,Default Mode ↔ Limbic,inter,Default Mode – B ↔ Limbic – A,inter
10,360,5.022431,6.20327e-07,0.00034955426,True,2,Somatomotor,4,Somatomotor – B,3,Dorsal Attention,6,Dorsal Attention – B,Left Heschl's Gyrus (includes H1 and H2),Left Superior Parietal Lobule,Left Heschl's Gyrus (includes H1 and H2) ↔ Left Superior Parietal Lobule,Dorsal Attention ↔ Somatomotor,inter,Dorsal Attention – B ↔ Somatomotor – B,inter
230,359,5.016102,6.419507e-07,0.0003564966,True,0,Unknown,0,Unknown,2,Somatomotor,3,Somatomotor – A,,Right Postcentral Gyrus,Right Postcentral Gyrus ↔ Unknown,Somatomotor ↔ Unknown,inter,Somatomotor – A ↔ Unknown,inter
182,277,5.0109606,6.5728346e-07,0.00036174717,True,5,Limbic,9,Limbic – A,5,Limbic,9,Limbic – A,Left Temporal Pole,Right Inferior Temporal Gyrus; anterior division,Left Temporal Pole ↔ Right Inferior Temporal Gyrus; anterior division,Limbic ↔ Limbic,intra,Limbic – A ↔ Limbic – A,intra
73,280,4.99774,7.027936e-07,0.00037929078,True,6,Frontoparietal Control,12,Frontoparietal Control – B,7,Default Mode,17,Temporo-Parietal,Left Superior Parietal Lobule,Left Middle Temporal Gyrus; posterior division,Left Middle Temporal Gyrus; posterior division ↔ Left Superior Parietal Lobule,Default Mode ↔ Frontoparietal Control,inter,Frontoparietal Control – B ↔ Temporo-Parietal,inter
9,280,4.9894385,7.327242e-07,0.0003872624,True,4,Salience / Ventral Attention,8,Salience/Ventral Attention – B,7,Default Mode,17,Temporo-Parietal,Left Insular Cortex,Left Middle Temporal Gyrus; posterior division,Left Insular Cortex ↔ Left Middle Temporal Gyrus; posterior division,Default Mode ↔ Salience / Ventral Attention,inter,Salience/Ventral Attention – B ↔ Temporo-Parietal,inter
158,390,4.9864216,7.4144674e-07,0.00038829687,True,7,Default Mode,16,Default Mode – C,0,Unknown,0,Unknown,Left Paracingulate Gyrus,Unknown,Left Paracingulate Gyrus ↔ Unknown,Default Mode ↔ Unknown,inter,Default Mode – C ↔ Unknown,inter
247,390,4.9766426,7.7844277e-07,0.00039372258,True,0,Unknown,0,Unknown,0,Unknown,0,Unknown,,Unknown,Unknown ↔ Unknown,Unknown ↔ Unknown,intra,Unknown ↔ Unknown,intra
21,194,4.9760027,7.8091017e-07,0.00039372258,True,0,Unknown,0,Unknown,2,Somatomotor,3,Somatomotor – A,Left Thalamus,Right Postcentral Gyrus,Left Thalamus ↔ Right Postcentral Gyrus,Somatomotor ↔ Unknown,inter,Somatomotor – A ↔ Unknown,inter
281,359,4.973814,7.960498e-07,0.00039444037,True,2,Somatomotor,3,Somatomotor – A,2,Somatomotor,3,Somatomotor – A,Right Precentral Gyrus,Right Postcentral Gyrus,Right Postcentral Gyrus ↔ Right Precentral Gyrus,Somatomotor ↔ Somatomotor,intra,Somatomotor – A ↔ Somatomotor – A,intra
133,217,4.9696665,8.076854e-07,0.00039444037,True,7,Default Mode,17,Temporo-Parietal,7,Default Mode,14,Default Mode – A,Right Inferior Frontal Gyrus; pars triangularis,Left Angular Gyrus,Left Angular Gyrus ↔ Right Inferior Frontal Gyrus; pars triangularis,Default Mode ↔ Default Mode,intra,Default Mode – A ↔ Temporo-Parietal,inter
230,247,4.9690185,8.093656e-07,0.00039444037,True,0,Unknown,0,Unknown,0,Unknown,0,Unknown,,,Unknown ↔ Unknown,Unknown ↔ Unknown,intra,Unknown ↔ Unknown,intra
10,172,4.968674,8.126205e-07,0.00039444037,True,2,Somatomotor,4,Somatomotor – B,6,Frontoparietal Control,13,Frontoparietal Control – C,Left Heschl's Gyrus (includes H1 and H2),Right Frontal Pole,Left Heschl's Gyrus (includes H1 and H2) ↔ Right Frontal Pole,Frontoparietal Control ↔ Somatomotor,inter,Frontoparietal Control – C ↔ Somatomotor – B,inter
129,359,4.966779,8.196134e-07,0.00039504335,True,7,Default Mode,16,Default Mode – C,2,Somatomotor,3,Somatomotor – A,Left Superior Frontal Gyrus,Right Postcentral Gyrus,Left Superior Frontal Gyrus ↔ Right Postcentral Gyrus,Default Mode ↔ Somatomotor,inter,Default Mode – C ↔ Somatomotor – A,inter
194,377,4.955589,8.736586e-07,0.00040825427,True,2,Somatomotor,3,Somatomotor – A,1,Visual,1,Visual – Central,Right Postcentral Gyrus,,Right Postcentral Gyrus ↔ Unknown,Somatomotor ↔ Visual,inter,Somatomotor – A ↔ Visual – Central,inter
53,390,4.954613,8.705078e-07,0.00040825427,True,7,Default Mode,17,Temporo-Parietal,0,Unknown,0,Unknown,Right Superior Frontal Gyrus,Unknown,Right Superior Frontal Gyrus ↔ Unknown,Default Mode ↔ Unknown,inter,Temporo-Parietal ↔ Unknown,inter
49,315,4.945711,9.161601e-07,0.00042143324,True,3,Dorsal Attention,6,Dorsal Attention – B,0,Unknown,0,Unknown,Left Postcentral Gyrus,,Left Postcentral Gyrus ↔ Unknown,Dorsal Attention ↔ Unknown,inter,Dorsal Attention – B ↔ Unknown,inter
65,230,4.942308,9.268897e-07,0.00042143324,True,4,Salience / Ventral Attention,7,Salience/Ventral Attention – A,0,Unknown,0,Unknown,Left Planum Temporale,,Left Planum Temporale ↔ Unknown,Salience / Ventral Attention ↔ Unknown,inter,Salience/Ventral Attention – A ↔ Unknown,inter
133,382,4.929432,9.93124e-07,0.00043490887,True,7,Default Mode,17,Temporo-Parietal,0,Unknown,0,Unknown,Right Inferior Frontal Gyrus; pars triangularis,Unknown,Right Inferior Frontal Gyrus; pars triangularis ↔ Unknown,Default Mode ↔ Unknown,inter,Temporo-Parietal ↔ Unknown,inter
102,230,4.925419,1.0058009e-06,0.00043548338,True,3,Dorsal Attention,6,Dorsal Attention – B,0,Unknown,0,Unknown,Left Postcentral Gyrus,,Left Postcentral Gyrus ↔ Unknown,Dorsal Attention ↔ Unknown,inter,Dorsal Attention – B ↔ Unknown,inter
121,390,4.9142847,1.0629025e-06,0.0004550648,True,6,Frontoparietal Control,10,Limbic – B,0,Unknown,0,Unknown,Right Frontal Orbital Cortex,Unknown,Right Frontal Orbital Cortex ↔ Unknown,Frontoparietal Control ↔ Unknown,inter,Limbic – B ↔ Unknown,inter
126,389,4.9127507,1.081691e-06,0.00046053596,True,0,Unknown,0,Unknown,2,Somatomotor,3,Somatomotor – A,,Right Postcentral Gyrus,Right Postcentral Gyrus ↔ Unknown,Somatomotor ↔ Unknown,inter,Somatomotor – A ↔ Unknown,inter
126,373,4.90575,1.1116776e-06,0.00046557197,True,0,Unknown,0,Unknown,0,Unknown,0,Unknown,,Left Caudate,Left Caudate ↔ Unknown,Unknown ↔ Unknown,intra,Unknown ↔ Unknown,intra
126,189,4.898567,1.1539452e-06,0.0004743651,True,0,Unknown,0,Unknown,7,Default Mode,16,Default Mode – C,,Left Lateral Occipital Cortex; superior division,Left Lateral Occipital Cortex; superior division ↔ Unknown,Default Mode ↔ Unknown,inter,Default Mode – C ↔ Unknown,inter
139,188,4.8981924,1.1575014e-06,0.0004743651,True,5,Limbic,15,Default Mode – B,1,Visual,15,Default Mode – B,Left Amygdala,Left Temporal Fusiform Cortex; posterior division,Left Amygdala ↔ Left Temporal Fusiform Cortex; posterior division,Limbic ↔ Visual,inter,Default Mode – B ↔ Default Mode – B,intra
100,168,4.891309,1.19216e-06,0.00048597003,True,5,Limbic,10,Limbic – B,5,Limbic,10,Limbic – B,Right Subcallosal Cortex,Left Subcallosal Cortex,Left Subcallosal Cortex ↔ Right Subcallosal Cortex,Limbic ↔ Limbic,intra,Limbic – B ↔ Limbic – B,intra
